new_common_name,species_code,taxon_concept_id,scientific_name,order,family,family_common,category,taxonomic_order,report_as,extinct
Cooper's Hawk,coohaw,avibase-EB98812F,Astur cooperii,Accipitriformes,Accipitridae,"Hawks, Eagles, and Kites",species,8278,NA,FALSE
Sharp-shinned/Cooper's Hawk,y00612,avibase-392FF890,Accipiter striatus/Astur cooperii,Accipitriformes,Accipitridae,"Hawks, Eagles, and Kites",slash,8279,NA,NA
Accipitrine hawk sp. (former Accipiter sp.),accipi,avibase-6A133F40,Aerospiza/Tachyspiza/Accipiter/Astur sp.,Accipitriformes,Accipitridae,"Hawks, Eagles, and Kites",spuh,8304,NA,NA
Northern Harrier,norhar2,avibase-A091D50A,Circus hudsonius,Accipitriformes,Accipitridae,"Hawks, Eagles, and Kites",species,8324,NA,FALSE
Bald Eagle,baleag,avibase-FED3756C,Haliaeetus leucocephalus,Accipitriformes,Accipitridae,"Hawks, Eagles, and Kites",species,8367,NA,FALSE
Red-shouldered Hawk,reshaw,avibase-EA4D6C0B,Buteo lineatus,Accipitriformes,Accipitridae,"Hawks, Eagles, and Kites",species,8487,NA,FALSE
Red-shouldered Hawk (elegans),reshaw4,avibase-5711B3B6,Buteo lineatus elegans,Accipitriformes,Accipitridae,"Hawks, Eagles, and Kites",issf,8493,reshaw,NA
Red-tailed Hawk,rethaw,avibase-536A5157,Buteo jamaicensis,Accipitriformes,Accipitridae,"Hawks, Eagles, and Kites",species,8506,NA,FALSE
Red-tailed Hawk (calurus/alascensis),wrthaw1,avibase-1B563EE5,Buteo jamaicensis calurus/alascensis,Accipitriformes,Accipitridae,"Hawks, Eagles, and Kites",issf,8509,rethaw,NA
Buteo sp.,buteo,avibase-E91E7830,Buteo sp.,Accipitriformes,Accipitridae,"Hawks, Eagles, and Kites",spuh,8573,NA,NA
hawk sp.,hawk,avibase-84E0CEF2,Accipitridae sp. (hawk sp.),Accipitriformes,Accipitridae,"Hawks, Eagles, and Kites",spuh,8576,NA,NA
American Barn Owl,brnowl,avibase-6B54759B,Tyto furcata,Strigiformes,Tytonidae,Barn-Owls,species,8633,NA,FALSE
Great Horned Owl,grhowl,avibase-FC366114,Bubo virginianus,Strigiformes,Strigidae,Owls,species,8910,NA,FALSE
Belted Kingfisher,belkin1,avibase-3558066B,Megaceryle alcyon,Coraciiformes,Alcedinidae,Kingfishers,species,10306,NA,FALSE
Red-breasted Sapsucker,rebsap,avibase-52F63879,Sphyrapicus ruber,Piciformes,Picidae,Woodpeckers,species,11130,NA,FALSE
Acorn Woodpecker,acowoo,avibase-7E327303,Melanerpes formicivorus,Piciformes,Picidae,Woodpeckers,species,11146,NA,FALSE
Downy Woodpecker,dowwoo,avibase-1B2A6386,Dryobates pubescens,Piciformes,Picidae,Woodpeckers,species,11400,NA,FALSE
Nuttall's Woodpecker,nutwoo,avibase-FA087E52,Dryobates nuttallii,Piciformes,Picidae,Woodpeckers,species,11410,NA,FALSE
Hairy Woodpecker,haiwoo,avibase-9D06AF89,Leuconotopicus villosus,Piciformes,Picidae,Woodpeckers,species,11427,NA,FALSE
Northern Flicker,norfli,avibase-FF9D71AF,Colaptes auratus,Piciformes,Picidae,Woodpeckers,species,11900,NA,FALSE
Northern Flicker (Red-shafted),resfli,avibase-6CC34F06,Colaptes auratus [cafer Group],Piciformes,Picidae,Woodpeckers,issf,11906,norfli,NA
American Kestrel,amekes,avibase-20C2214E,Falco sparverius,Falconiformes,Falconidae,Falcons and Caracaras,species,12028,NA,FALSE
Merlin,merlin,avibase-F3DA111C,Falco columbarius,Falconiformes,Falconidae,Falcons and Caracaras,species,12062,NA,FALSE
Peregrine Falcon,perfal,avibase-47E58408,Falco peregrinus,Falconiformes,Falconidae,Falcons and Caracaras,species,12114,NA,FALSE
Peregrine Falcon (North American),perfal1,avibase-6C7DCE6B,Falco peregrinus anatum,Falconiformes,Falconidae,Falcons and Caracaras,issf,12115,perfal,NA
falcon sp.,falcon,avibase-A28F0D10,Falco sp.,Falconiformes,Falconidae,Falcons and Caracaras,spuh,12141,NA,NA
parrot sp.,parrot,avibase-47B16A4A,Psittaciformes sp. (parrot sp.),Psittaciformes,NA,NA,spuh,13216,NA,NA
Olive-sided Flycatcher,olsfly,avibase-951C150C,Contopus cooperi,Passeriformes,Tyrannidae,Tyrant Flycatchers,species,16890,NA,FALSE
Western Wood-Pewee,wewpew,avibase-F6CA75F0,Contopus sordidulus,Passeriformes,Tyrannidae,Tyrant Flycatchers,species,16912,NA,FALSE
Willow Flycatcher,wilfly,avibase-5BC4E0EF,Empidonax traillii,Passeriformes,Tyrannidae,Tyrant Flycatchers,species,16952,NA,FALSE
Western Flycatcher,wesfly,avibase-B12B8816,Empidonax difficilis,Passeriformes,Tyrannidae,Tyrant Flycatchers,species,16975,NA,FALSE
Western Flycatcher (Pacific-slope),pasfly,avibase-44A20283,Empidonax difficilis [difficilis Group],Passeriformes,Tyrannidae,Tyrant Flycatchers,issf,16976,wesfly,NA
Black Phoebe,blkpho,avibase-B182DED2,Sayornis nigricans,Passeriformes,Tyrannidae,Tyrant Flycatchers,species,16998,NA,FALSE
Say's Phoebe,saypho,avibase-28669A3D,Sayornis saya,Passeriformes,Tyrannidae,Tyrant Flycatchers,species,17010,NA,FALSE
Vermilion Flycatcher,verfly,avibase-1456993D,Pyrocephalus rubinus,Passeriformes,Tyrannidae,Tyrant Flycatchers,species,17029,NA,FALSE
Ash-throated Flycatcher,astfly,avibase-E0A04985,Myiarchus cinerascens,Passeriformes,Tyrannidae,Tyrant Flycatchers,species,17323,NA,FALSE
Tropical Kingbird,trokin,avibase-BB6B236F,Tyrannus melancholicus,Passeriformes,Tyrannidae,Tyrant Flycatchers,species,17452,NA,FALSE
Cassin's Kingbird,caskin,avibase-178B8955,Tyrannus vociferans,Passeriformes,Tyrannidae,Tyrant Flycatchers,species,17461,NA,FALSE
Western Kingbird,weskin,avibase-2281F1C7,Tyrannus verticalis,Passeriformes,Tyrannidae,Tyrant Flycatchers,species,17467,NA,FALSE
Cassin's/Western Kingbird,y00619,avibase-F52E24DC,Tyrannus vociferans/verticalis,Passeriformes,Tyrannidae,Tyrant Flycatchers,slash,17470,NA,NA
yellow-bellied kingbird sp.,yebkin2,avibase-B930C7F7,Tyrannus sp. (yellow-bellied),Passeriformes,Tyrannidae,Tyrant Flycatchers,spuh,17471,NA,NA
Scissor-tailed Flycatcher,sctfly,avibase-6F65F82B,Tyrannus forficatus,Passeriformes,Tyrannidae,Tyrant Flycatchers,species,17489,NA,FALSE
Tyrannus sp.,tyrann1,avibase-4BFE8C78,Tyrannus sp.,Passeriformes,Tyrannidae,Tyrant Flycatchers,spuh,17500,NA,NA
Hutton's Vireo,hutvir,avibase-1BDF5C00,Vireo huttoni,Passeriformes,Vireonidae,"Vireos, Shrike-Babblers, and Erpornis",species,19204,NA,FALSE
Cassin's Vireo,casvir,avibase-EB0CD5DC,Vireo cassinii,Passeriformes,Vireonidae,"Vireos, Shrike-Babblers, and Erpornis",species,19223,NA,FALSE
Western Warbling Vireo,wewvir2,avibase-8E6E7C64,Vireo swainsoni,Passeriformes,Vireonidae,"Vireos, Shrike-Babblers, and Erpornis",species,19247,NA,FALSE
Loggerhead Shrike,logshr,avibase-36171C2B,Lanius ludovicianus,Passeriformes,Laniidae,Shrikes,species,21091,NA,FALSE
California Scrub-Jay,cowscj1,avibase-151C2B3F,Aphelocoma californica,Passeriformes,Corvidae,"Crows, Jays, and Magpies",species,21303,NA,FALSE
American Crow,amecro,avibase-69544B59,Corvus brachyrhynchos,Passeriformes,Corvidae,"Crows, Jays, and Magpies",species,21557,NA,FALSE
Common Raven,comrav,avibase-B9B272F4,Corvus corax,Passeriformes,Corvidae,"Crows, Jays, and Magpies",species,21624,NA,FALSE
Chestnut-backed Chickadee,chbchi,avibase-FF592882,Poecile rufescens,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",species,22094,NA,FALSE
Oak Titmouse,oaktit,avibase-715D4DDE,Baeolophus inornatus,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",species,22150,NA,FALSE
Tree Swallow,treswa,avibase-BBA2F9DF,Tachycineta bicolor,Passeriformes,Hirundinidae,Swallows,species,24064,NA,FALSE
Violet-green Swallow,vigswa,avibase-75DC49AD,Tachycineta thalassina,Passeriformes,Hirundinidae,Swallows,species,24074,NA,FALSE
Purple Martin,purmar,avibase-ACB9D1C6,Progne subis,Passeriformes,Hirundinidae,Swallows,species,24081,NA,FALSE
Northern Rough-winged Swallow,nrwswa,avibase-2C1981BB,Stelgidopteryx serripennis,Passeriformes,Hirundinidae,Swallows,species,24106,NA,FALSE
Northern Rough-winged Swallow (Northern),nrwswa1,avibase-B90C04E9,Stelgidopteryx serripennis [serripennis Group],Passeriformes,Hirundinidae,Swallows,issf,24107,nrwswa,NA
Barn Swallow,barswa,avibase-58C502EA,Hirundo rustica,Passeriformes,Hirundinidae,Swallows,species,24187,NA,FALSE
Barn Swallow (American),barswa5,avibase-43FD00D9,Hirundo rustica erythrogaster,Passeriformes,Hirundinidae,Swallows,issf,24195,barswa,NA
Cliff Swallow,cliswa,avibase-F5C181CA,Petrochelidon pyrrhonota,Passeriformes,Hirundinidae,Swallows,species,24281,NA,FALSE
Cliff Swallow (pyrrhonota Group),cliswa2,avibase-6EB32723,Petrochelidon pyrrhonota [pyrrhonota Group],Passeriformes,Hirundinidae,Swallows,issf,24282,cliswa,NA
swallow sp.,swallo,avibase-55CCEE2D,Hirundinidae sp.,Passeriformes,Hirundinidae,Swallows,spuh,24305,NA,NA
Bushtit,bushti,avibase-AE37ED4D,Psaltriparus minimus,Passeriformes,Aegithalidae,Long-tailed Tits,species,25253,NA,FALSE
Bushtit (Pacific),bushti1,avibase-B020FDFB,Psaltriparus minimus [minimus Group],Passeriformes,Aegithalidae,Long-tailed Tits,issf,25254,bushti,NA
Wrentit,wrenti,avibase-989B57D8,Chamaea fasciata,Passeriformes,Paradoxornithidae,Parrotbills,species,25431,NA,FALSE
Swinhoe's White-eye,swiwhe1,avibase-B1AC8066,Zosterops simplex,Passeriformes,Zosteropidae,"White-eyes, Yuhinas, and Allies",species,25619,NA,FALSE
Ruby-crowned Kinglet,ruckin,avibase-B60B1166,Corthylio calendula,Passeriformes,Regulidae,Kinglets,species,26844,NA,FALSE
White-breasted Nuthatch,whbnut,avibase-19CCBBD2,Sitta carolinensis,Passeriformes,Sittidae,Nuthatches,species,26889,NA,FALSE
White-breasted Nuthatch (Pacific),whbnut4,avibase-2544ADB5,Sitta carolinensis aculeata/alexandrae,Passeriformes,Sittidae,Nuthatches,issf,26898,whbnut,NA
Red-breasted Nuthatch,rebnut,avibase-0716A71C,Sitta canadensis,Passeriformes,Sittidae,Nuthatches,species,26937,NA,FALSE
Brown Creeper,brncre,avibase-BAC33609,Certhia americana,Passeriformes,Certhiidae,Treecreepers,species,27026,NA,FALSE
Blue-gray Gnatcatcher,buggna,avibase-A15C5071,Polioptila caerulea,Passeriformes,Polioptilidae,Gnatcatchers,species,27123,NA,FALSE
Northern House Wren,houwre,avibase-A4F5C5C8,Troglodytes aedon,Passeriformes,Troglodytidae,Wrens,species,27191,NA,FALSE
Northern House Wren (Northern),houwre1,avibase-51E93702,Troglodytes aedon [aedon Group],Passeriformes,Troglodytidae,Wrens,issf,27192,houwre,NA
Marsh Wren,marwre,avibase-787E0536,Cistothorus palustris,Passeriformes,Troglodytidae,Wrens,species,27329,NA,FALSE
Bewick's Wren,bewwre,avibase-603194D3,Thryomanes bewickii,Passeriformes,Troglodytidae,Wrens,species,27362,NA,FALSE
Bewick's Wren (spilurus Group),bewwre1,avibase-2A34DC8D,Thryomanes bewickii [spilurus Group],Passeriformes,Troglodytidae,Wrens,issf,27370,bewwre,NA
wren sp.,wren1,avibase-D81CDBB1,Troglodytidae sp.,Passeriformes,Troglodytidae,Wrens,spuh,27646,NA,NA
European Starling,eursta,avibase-94A44032,Sturnus vulgaris,Passeriformes,Sturnidae,Starlings,species,27813,NA,FALSE
California Thrasher,calthr,avibase-20748450,Toxostoma redivivum,Passeriformes,Mimidae,Mockingbirds and Thrashers,species,28054,NA,FALSE
Northern Mockingbird,normoc,avibase-7EFF698D,Mimus polyglottos,Passeriformes,Mimidae,Mockingbirds and Thrashers,species,28114,NA,FALSE
Western Bluebird,wesblu,avibase-AC2B812A,Sialia mexicana,Passeriformes,Turdidae,Thrushes and Allies,species,28136,NA,FALSE
Varied Thrush,varthr,avibase-58312873,Ixoreus naevius,Passeriformes,Turdidae,Thrushes and Allies,species,28249,NA,FALSE
Swainson's Thrush,swathr,avibase-E53FC25C,Catharus ustulatus,Passeriformes,Turdidae,Thrushes and Allies,species,28324,NA,FALSE
Hermit Thrush,herthr,avibase-B01E8BD4,Catharus guttatus,Passeriformes,Turdidae,Thrushes and Allies,species,28333,NA,FALSE
American Robin,amerob,avibase-D77E4B41,Turdus migratorius,Passeriformes,Turdidae,Thrushes and Allies,species,28633,NA,FALSE
Cedar Waxwing,cedwax,avibase-9437D635,Bombycilla cedrorum,Passeriformes,Bombycillidae,Waxwings,species,29888,NA,FALSE
Phainopepla,phaino,avibase-BD929CBC,Phainopepla nitens,Passeriformes,Ptiliogonatidae,Silky-flycatchers,species,29909,NA,FALSE
Scaly-breasted Munia,nutman,avibase-6D4F72B1,Lonchura punctulata,Passeriformes,Estrildidae,Waxbills and Allies,species,31076,NA,FALSE
House Sparrow,houspa,avibase-240E3390,Passer domesticus,Passeriformes,Passeridae,Old World Sparrows,species,31534,NA,FALSE
American Pipit,amepip,avibase-CDA2E56B,Anthus rubescens,Passeriformes,Motacillidae,Wagtails and Pipits,species,31883,NA,FALSE
House Finch,houfin,avibase-89431E9F,Haemorhous mexicanus,Passeriformes,Fringillidae,"Finches, Euphonias, and Allies",species,32310,NA,FALSE
Purple Finch,purfin,avibase-B4EE123D,Haemorhous purpureus,Passeriformes,Fringillidae,"Finches, Euphonias, and Allies",species,32324,NA,FALSE
Purple Finch (Western),purfin2,avibase-B759829F,Haemorhous purpureus californicus,Passeriformes,Fringillidae,"Finches, Euphonias, and Allies",issf,32326,purfin,NA
House/Purple Finch,y00338,avibase-FF9212FE,Haemorhous mexicanus/purpureus,Passeriformes,Fringillidae,"Finches, Euphonias, and Allies",slash,32328,NA,NA
Red Crossbill,redcro,avibase-135564AA,Loxia curvirostra,Passeriformes,Fringillidae,"Finches, Euphonias, and Allies",species,32498,NA,FALSE
Pine Siskin,pinsis,avibase-B48335B1,Spinus pinus,Passeriformes,Fringillidae,"Finches, Euphonias, and Allies",species,32595,NA,FALSE
Lesser Goldfinch,lesgol,avibase-CD5C21CA,Spinus psaltria,Passeriformes,Fringillidae,"Finches, Euphonias, and Allies",species,32609,NA,FALSE
Lawrence's Goldfinch,lawgol,avibase-C27D9E26,Spinus lawrencei,Passeriformes,Fringillidae,"Finches, Euphonias, and Allies",species,32616,NA,FALSE
American Goldfinch,amegfi,avibase-C9ABA616,Spinus tristis,Passeriformes,Fringillidae,"Finches, Euphonias, and Allies",species,32617,NA,FALSE
new world goldfinch sp.,goldfi,avibase-A2EB3A7A,Spinus sp. (goldfinch sp.),Passeriformes,Fringillidae,"Finches, Euphonias, and Allies",spuh,32626,NA,NA
finch sp.,finch1,avibase-B20C6C46,Fringillidae sp.,Passeriformes,Fringillidae,"Finches, Euphonias, and Allies",spuh,32662,NA,NA
Chipping Sparrow,chispa,avibase-37E9CCDA,Spizella passerina,Passeriformes,Passerellidae,New World Sparrows,species,32990,NA,FALSE
Lark Sparrow,larspa,avibase-78509A5D,Chondestes grammacus,Passeriformes,Passerellidae,New World Sparrows,species,33029,NA,FALSE
Lark Bunting,larbun,avibase-938C5572,Calamospiza melanocorys,Passeriformes,Passerellidae,New World Sparrows,species,33032,NA,FALSE
Fox Sparrow,foxspa,avibase-3A7B1F59,Passerella iliaca,Passeriformes,Passerellidae,New World Sparrows,species,33099,NA,FALSE
Fox Sparrow (Sooty),foxsp2,avibase-2D663DC8,Passerella iliaca [unalaschcensis Group],Passeriformes,Passerellidae,New World Sparrows,issf,33100,foxspa,NA
Fox Sparrow (Slate-colored),foxsp3,avibase-15BD1543,Passerella iliaca [schistacea Group],Passeriformes,Passerellidae,New World Sparrows,issf,33114,foxspa,NA
Dark-eyed Junco,daejun,avibase-05FF3C9B,Junco hyemalis,Passeriformes,Passerellidae,New World Sparrows,species,33124,NA,FALSE
Dark-eyed Junco (Oregon),orejun,avibase-F52F581B,Junco hyemalis [oreganus Group],Passeriformes,Passerellidae,New World Sparrows,issf,33130,daejun,NA
White-crowned Sparrow,whcspa,avibase-8601A467,Zonotrichia leucophrys,Passeriformes,Passerellidae,New World Sparrows,species,33187,NA,FALSE
White-crowned Sparrow (Gambel's),gwcspa,avibase-DCA59B9B,Zonotrichia leucophrys gambelii,Passeriformes,Passerellidae,New World Sparrows,issf,33191,whcspa,NA
White-crowned Sparrow (Yellow-billed),whcspa3,avibase-9E311669,Zonotrichia leucophrys nuttalli/pugetensis,Passeriformes,Passerellidae,New World Sparrows,form,33192,whcspa,NA
White-crowned Sparrow (pugetensis),pswspa1,avibase-9D5921BF,Zonotrichia leucophrys pugetensis,Passeriformes,Passerellidae,New World Sparrows,issf,33194,whcspa,NA
Golden-crowned Sparrow,gocspa,avibase-BD61BDEC,Zonotrichia atricapilla,Passeriformes,Passerellidae,New World Sparrows,species,33196,NA,FALSE
White-throated Sparrow,whtspa,avibase-39BD9FF2,Zonotrichia albicollis,Passeriformes,Passerellidae,New World Sparrows,species,33201,NA,FALSE
Vesper Sparrow,vesspa,avibase-3647E146,Pooecetes gramineus,Passeriformes,Passerellidae,New World Sparrows,species,33217,NA,FALSE
Savannah Sparrow,savspa,avibase-31CE00C7,Passerculus sandwichensis,Passeriformes,Passerellidae,New World Sparrows,species,33244,NA,FALSE
Savannah Sparrow (Belding's),bldspa,avibase-3C974C47,Passerculus sandwichensis [guttatus Group],Passeriformes,Passerellidae,New World Sparrows,issf,33260,savspa,NA
Song Sparrow,sonspa,avibase-A5F09E05,Melospiza melodia,Passeriformes,Passerellidae,New World Sparrows,species,33277,NA,FALSE
Song Sparrow (heermanni Group),sonspa5,avibase-C45F7C5E,Melospiza melodia [heermanni Group],Passeriformes,Passerellidae,New World Sparrows,issf,33293,sonspa,NA
Lincoln's Sparrow,linspa,avibase-AF49F890,Melospiza lincolnii,Passeriformes,Passerellidae,New World Sparrows,species,33310,NA,FALSE
California Towhee,caltow,avibase-B745D852,Melozone crissalis,Passeriformes,Passerellidae,New World Sparrows,species,33350,NA,FALSE
Spotted Towhee,spotow,avibase-58E25701,Pipilo maculatus,Passeriformes,Passerellidae,New World Sparrows,species,33386,NA,FALSE
Spotted Towhee (oregonus Group),spotow1,avibase-D98CADDC,Pipilo maculatus [oregonus Group],Passeriformes,Passerellidae,New World Sparrows,issf,33387,spotow,NA
new world sparrow sp.,sparro1,avibase-081D9B25,Passerellidae sp.,Passeriformes,Passerellidae,New World Sparrows,spuh,33520,NA,NA
Yellow-breasted Chat,yebcha,avibase-734C73A9,Icteria virens,Passeriformes,Icteriidae,Yellow-breasted Chat,species,33559,NA,FALSE
Yellow-headed Blackbird,yehbla,avibase-3E2D0C9B,Xanthocephalus xanthocephalus,Passeriformes,Icteridae,Troupials and Allies,species,33563,NA,FALSE
Bobolink,boboli,avibase-F845062F,Dolichonyx oryzivorus,Passeriformes,Icteridae,Troupials and Allies,species,33564,NA,FALSE
Western Meadowlark,wesmea,avibase-4A5B4883,Sturnella neglecta,Passeriformes,Icteridae,Troupials and Allies,species,33565,NA,FALSE
Orchard Oriole,orcori,avibase-000482C9,Icterus spurius,Passeriformes,Icteridae,Troupials and Allies,species,33679,NA,FALSE
Orchard Oriole (Orchard),orcori2,avibase-E2014696,Icterus spurius spurius,Passeriformes,Icteridae,Troupials and Allies,issf,33680,orcori,NA
Hooded Oriole,hooori,avibase-526A3692,Icterus cucullatus,Passeriformes,Icteridae,Troupials and Allies,species,33682,NA,FALSE
Orchard/Hooded Oriole,y00488,avibase-693BD192,Icterus spurius/cucullatus,Passeriformes,Icteridae,Troupials and Allies,slash,33693,NA,NA
Bullock's Oriole,bulori,avibase-7E65A952,Icterus bullockii,Passeriformes,Icteridae,Troupials and Allies,species,33736,NA,FALSE
Baltimore Oriole,balori,avibase-5110842F,Icterus galbula,Passeriformes,Icteridae,Troupials and Allies,species,33770,NA,FALSE
new world oriole sp.,oriole,avibase-DA4F8035,Icterus sp.,Passeriformes,Icteridae,Troupials and Allies,spuh,33777,NA,NA
Red-winged Blackbird,rewbla,avibase-C86D078E,Agelaius phoeniceus,Passeriformes,Icteridae,Troupials and Allies,species,33779,NA,FALSE
Tricolored Blackbird,tribla,avibase-80285D5C,Agelaius tricolor,Passeriformes,Icteridae,Troupials and Allies,species,33807,NA,FALSE
Brown-headed Cowbird,bnhcow,avibase-1E1AB415,Molothrus ater,Passeriformes,Icteridae,Troupials and Allies,species,33833,NA,FALSE
Brewer's Blackbird,brebla,avibase-EA5E858A,Euphagus cyanocephalus,Passeriformes,Icteridae,Troupials and Allies,species,33851,NA,FALSE
Great-tailed Grackle,grtgra,avibase-5CBA3391,Quiscalus mexicanus,Passeriformes,Icteridae,Troupials and Allies,species,33864,NA,FALSE
blackbird sp.,blackb,avibase-D572AE1C,Icteridae sp.,Passeriformes,Icteridae,Troupials and Allies,spuh,33944,NA,NA
Black-and-white Warbler,bawwar,avibase-4D207AF6,Mniotilta varia,Passeriformes,Parulidae,New World Warblers,species,33962,NA,FALSE
Prothonotary Warbler,prowar,avibase-4D08EE7E,Protonotaria citrea,Passeriformes,Parulidae,New World Warblers,species,33963,NA,FALSE
Tennessee Warbler,tenwar,avibase-D204A930,Leiothlypis peregrina,Passeriformes,Parulidae,New World Warblers,species,33972,NA,FALSE
Orange-crowned Warbler,orcwar,avibase-FFF61080,Leiothlypis celata,Passeriformes,Parulidae,New World Warblers,species,33973,NA,FALSE
Orange-crowned Warbler (Gray-headed),orcwar5,avibase-6EC108A8,Leiothlypis celata celata/orestera,Passeriformes,Parulidae,New World Warblers,form,33974,orcwar,NA
Orange-crowned Warbler (lutescens),orcwar3,avibase-F66823A4,Leiothlypis celata lutescens,Passeriformes,Parulidae,New World Warblers,issf,33977,orcwar,NA
Orange-crowned Warbler (sordida),orcwar4,avibase-E1EE2C92,Leiothlypis celata sordida,Passeriformes,Parulidae,New World Warblers,issf,33978,orcwar,NA
Nashville Warbler,naswar,avibase-183E5F90,Leiothlypis ruficapilla,Passeriformes,Parulidae,New World Warblers,species,33981,NA,FALSE
Virginia's Warbler,virwar,avibase-A97F14D0,Leiothlypis virginiae,Passeriformes,Parulidae,New World Warblers,species,33986,NA,FALSE
MacGillivray's Warbler,macwar,avibase-85106518,Geothlypis tolmiei,Passeriformes,Parulidae,New World Warblers,species,34005,NA,FALSE
Common Yellowthroat,comyel,avibase-BA4C8A02,Geothlypis trichas,Passeriformes,Parulidae,New World Warblers,species,34028,NA,FALSE
Northern Yellow Warbler,yelwar1,avibase-B64C749B,Setophaga aestiva,Passeriformes,Parulidae,New World Warblers,species,34087,NA,FALSE
Blackpoll Warbler,bkpwar,avibase-544A5E6B,Setophaga striata,Passeriformes,Parulidae,New World Warblers,species,34138,NA,FALSE
Palm Warbler,palwar,avibase-4AAEF549,Setophaga palmarum,Passeriformes,Parulidae,New World Warblers,species,34148,NA,FALSE
Palm Warbler (Western),palwar3,avibase-BFE4314B,Setophaga palmarum palmarum,Passeriformes,Parulidae,New World Warblers,issf,34149,palwar,NA
Yellow-rumped Warbler,yerwar,avibase-BC5A9498,Setophaga coronata,Passeriformes,Parulidae,New World Warblers,species,34159,NA,FALSE
Yellow-rumped Warbler (Myrtle),myrwar,avibase-524C7116,Setophaga coronata coronata,Passeriformes,Parulidae,New World Warblers,issf,34160,yerwar,NA
Yellow-rumped Warbler (Audubon's),audwar,avibase-631CB970,Setophaga coronata auduboni,Passeriformes,Parulidae,New World Warblers,issf,34161,yerwar,NA
Yellow-rumped Warbler (Myrtle x Audubon's),yerwar3,avibase-98953427,Setophaga coronata coronata x auduboni,Passeriformes,Parulidae,New World Warblers,intergrade,34162,yerwar,NA
Black-throated Gray Warbler,btywar,avibase-6B7A93C5,Setophaga nigrescens,Passeriformes,Parulidae,New World Warblers,species,34200,NA,FALSE
Townsend's Warbler,towwar,avibase-F6C6C3F7,Setophaga townsendi,Passeriformes,Parulidae,New World Warblers,species,34206,NA,FALSE
Hermit Warbler,herwar,avibase-0EB07C12,Setophaga occidentalis,Passeriformes,Parulidae,New World Warblers,species,34210,NA,FALSE
Wilson's Warbler,wlswar,avibase-1F09CCCC,Cardellina pusilla,Passeriformes,Parulidae,New World Warblers,species,34346,NA,FALSE
new world warbler sp.,warble,avibase-62BC6EC7,Parulidae sp.,Passeriformes,Parulidae,New World Warblers,spuh,34397,NA,NA
Summer Tanager,sumtan,avibase-891798D9,Piranga rubra,Passeriformes,Cardinalidae,Cardinals and Allies,species,34432,NA,FALSE
Western Tanager,westan,avibase-0ADA5F17,Piranga ludoviciana,Passeriformes,Cardinalidae,Cardinals and Allies,species,34439,NA,FALSE
Black-headed Grosbeak,bkhgro,avibase-824361E5,Pheucticus melanocephalus,Passeriformes,Cardinalidae,Cardinals and Allies,species,34559,NA,FALSE
Blue Grosbeak,blugrb1,avibase-A7A75EA1,Passerina caerulea,Passeriformes,Cardinalidae,Cardinals and Allies,species,34598,NA,FALSE
Lazuli Bunting,lazbun,avibase-9F67F3AF,Passerina amoena,Passeriformes,Cardinalidae,Cardinals and Allies,species,34606,NA,FALSE
passerine sp.,passer1,avibase-CFD25837,Passeriformes sp.,Passeriformes,NA,NA,spuh,35852,NA,NA
bird sp.,bird1,avibase-AF0D818A,Aves sp.,NA,NA,NA,spuh,35853,NA,NA
